구분,공고종목,지역,발주기관,기초금액(원),추정가격(원),낙찰하한율(%),예정가격(원),예가_기초(%),낙찰하한가(원),투찰_기초(%),A값(원),순공사원가(원),복수예비가1,복수예비가2,복수예비가3,복수예비가4,투찰율(%),기초대비(%),업체사정율(%),투찰금액(원)
78,석면해체,충남,공주대학교,90178000,81980000.0,87.745,90240050,100.0688,79181132,87.805,,,91303500,88605300,90243000,90808400,87.7467,87.8071,100.0708,79182709
79,석면해체,충남,한국폴리텍대학바이오캠퍼스,112357000,102142730.0,87.745,111839075,99.539,98133197,87.34,,,111596400,113261500,112153700,110344700,87.7637,87.3591,99.5603,98154160
80,석면해체,충남,제20전투비행단,24998820,23190000.0,87.745,25102137,100.4132,22025871,88.107,,,24628127,25106261,25241759,25432403,87.7585,88.1211,100.4287,22029260
81,석면해체,충남,공군 작사예하 방포사예하 제2여단,47403920,43956363.0,87.745,47654384,100.5283,41814340,88.208,,,47066687,47729727,47847166,47973957,87.7673,88.231,100.5539,41825000
82,석면해체,충남,한국철도공사 회계통합센터,33198000,30180000.0,87.745,33185275,99.9616,29118420,87.711,,,33481600,33369700,32818900,33070900,87.7456,87.7119,99.9623,29118629
83,비계구조[대],충남,충청남도 서산시,176601000,160546364.0,87.745,176381600,99.8757,154766035,87.635,,,175891100,176030600,181185600,172419100,87.7687,87.6597,99.9028,154808000
84,"석면해체,비계구조[대]",충남,충청남도 서산시,38070000,34609091.0,87.745,37886825,99.5188,33243795,87.322,,,38120700,37752500,36988100,38686000,88.0728,87.649,99.8906,33368000
85,석면해체,충남,국방부계룡대근무지원단,10550000,9593636.0,87.745,10507176,99.594,9219522,87.388,,,10394687,10506820,10530791,10596407,87.7481,87.3919,99.5976,9219850
86,"석면해체,비계구조[대]",충남,충청남도 서산시,43350000,39409091.0,87.745,42852950,98.8534,37601321,86.738,,,42250300,42711500,42406800,44043200,87.7529,86.7468,98.8623,37604740
87,비계구조[대],충남,충청남도 서산시,38270000,34790909.0,87.745,37894650,99.0192,33250661,86.884,,,37329800,37895400,37435400,38918000,87.8374,86.9759,99.1235,33285683
88,"석면해체,비계구조[대]",충남,충청남도 서산시,34059000,30962989.0,87.745,34198075,100.4083,30007101,88.103,,,34162200,35052900,33167000,34410200,88.0783,88.438,100.7897,30121100
89,석면해체,충남,국방부계룡대근무지원단,11060000,10060909.0,87.745,11151520,100.8274,9784902,88.471,,,10953870,11169240,11224820,11258152,87.7729,88.4992,100.8596,9788018
90,"석면해체,비계구조[대]",충남,충청남도 서산시,54451000,49501214.0,87.745,54947925,100.9126,48214057,88.545,,,54688500,55865700,55841200,53396300,88.0132,88.8164,101.221,48361440
91,"석면해체,비계구조[대]",충남,충청남도 서산시,27965000,25423283.0,87.745,27902600,99.7768,24483137,87.549,,,27782700,27984600,28248600,27594500,87.7508,87.555,99.7834,24484760
92,비계구조[대],충남,충청남도 서산시,34230000,31118182.0,87.745,34230675,100.0019,30035706,87.746,,,33590300,34988600,35121100,33222700,87.8088,87.8106,100.0747,30057570
93,석면해체,충남,충청남도 건설본부,39721000,36110000.0,87.745,40020750,100.7546,35116208,88.407,,,39460100,40695400,40167900,39759600,87.7562,88.4185,100.7676,35120726
94,석면해체,충남,국방부계룡대근무지원단,22100000,20091818.0,87.745,22116261,100.0735,19405914,87.809,,,21772300,21945922,22309278,22437544,87.7518,87.8164,100.0814,19407430
