공고종목,지역,발주기관,기초금액(원),추정가격(원),낙찰하한율(%),예정가격(원),예가/기초(%),낙찰하한가(원),투찰/기초(%),A값(원),순공사원가(원),복수예비가_1,복수예비가_2,복수예비가_3,복수예비가_4,투찰율(%),기초대비(%),업체사정율(%),투찰금액(원)
석면해체,충남,충청남도교육청 예산고등학교,183920000,167200000,87.745,184495275,100.3127,163000635,88.625,9100411.0,0,184341200,182240900,188006800,183392200,87.7458,88.6266,100.3136,163002100
석면해체,충남,충청남도교육청 호서고등학교,362910000,329918182,87.745,362957250,100.013,320718477,88.374,18291612.0,0,363069700,364594000,357437400,366727900,87.7629,88.3911,100.0324,320780190
석면해체,충남,충청남도예산교육지원청,192976000,175432728,87.745,194575825,100.829,172114418,89.189,11292208.0,0,192815900,190355400,196868400,198263600,87.7851,89.2276,100.8724,172188000
석면해체,충남,충청남도천안교육지원청,228906000,208096364,87.745,226445325,98.925,200392211,87.543,13853614.0,0,230744200,223716800,224179100,227141200,87.7598,87.5572,98.9406,200423688
비계구조[대],충남,국방부계룡대근무지원단,21200000,19286363,87.745,21100873,99.5324,18514962,87.334,,,20935575,21001486,21114498,21351934,87.7465,87.3362,99.5341,18515290
석면해체,충남,국방부계룡대근무지원단,2670000,2429090,87.745,2673110,100.1164,2345521,87.847,,,2644588,2670000,2681153,2696699,87.7629,87.8651,100.1369,2346000
석면해체,충남,국방출판지원단,110498920,102503636,87.745,110679050,100.163,97963971,88.656,6924835.0,96994955,110047835,110284402,110498920,111885044,87.7554,88.6658,100.1741,97974800
석면해체,충남,충청남도 공주시,218934000,199030910,87.745,219819600,100.4045,194444710,88.814,12762147.0,0,214437100,220232300,221707900,222901100,87.7647,88.8329,100.4258,194485617
석면해체,전국,서울특별시교육청 영락고등학교,789100000,717363637,87.745,788099850,99.8732,696581098,88.275,41312807.0,593851756,783947200,798987500,782542600,786922100,87.7473,88.2776,99.8757,696598720
석면해체,충남,육군훈련소,479304260,435731145,86.745,476244424,99.3616,417506300,87.106,33105050.0,416352046,469718175,473446365,479304260,482508896,86.7631,87.1235,99.381,417586930
석면해체,충남,충청남도교육청 태안여자고등학교,130778000,118889092,87.745,128271350,98.0832,112551697,86.063,,,127226100,127593600,127975500,130290200,88.4199,86.7251,98.8377,113417411
석면해체,충남,공주대학교,59697000,54270000,87.745,59381550,99.4715,52104342,87.281,,,58634400,60726200,59494100,58671500,87.7461,87.2824,99.4728,52105000
석면해체,충남,국방부계룡대근무지원단,11080000,10074545,87.745,11093926,100.1256,9734366,87.855,,,10973399,11060809,11156910,11184589,87.7487,87.859,100.1299,9734780
"석면해체,비계구조[대]",충남,충청남도 서산시,35980000,32709633,87.745,35625825,99.0156,31259881,86.881,,,35685400,35402200,35025100,36390600,87.7481,86.8843,99.0191,31261000
석면해체,충남,제32보병사단,81368180,73971072,87.745,80389805,98.7975,70538035,86.689,,,79956825,80165618,80381913,81054865,87.7462,86.6911,98.7989,70539000
석면해체,충남,충청남도교육청 보령정심학교,200673000,182430000,87.745,202279950,100.8007,178947585,89.173,11889372.0,0,200362000,197337900,206687200,204732700,87.7915,89.2179,100.8511,179036300
"석면해체,비계구조[대]",충남,충청남도 서산시,41056000,37324108,87.745,41029150,99.9346,36001028,87.687,,,41214100,40688600,42194100,40019800,87.8024,87.745,100.0,36024588
석면해체,충남,공주대학교,77187000,70170000,87.745,76604475,99.2453,67216597,87.082,,,76675300,77505800,76407500,75829300,87.8025,87.1399,99.3104,67260683
비계구조[대],충남,국방출판지원단,2786520,2584900,87.745,2793145,100.2377,2450846,87.953,,,2759200,2786520,2806620,2820241,87.7612,87.9699,100.2563,2451300
"석면해체,비계구조[대]",충남,충청남도 서산시,33756000,30687860,87.745,33437650,99.0569,29339866,86.917,,,34185800,32748400,32942500,33873900,87.7953,86.9673,99.1137,29356690
비계구조[대],충남,충청남도 서산시,43600000,39636364,87.745,43249275,99.1955,37949077,87.039,,,42585000,43379400,44283700,42749000,87.9529,87.2454,99.4306,38039000
석면해체,충남,충청남도서산교육지원청,57808000,52552727,87.745,57643300,99.715,50579114,87.495,,,57974000,58718500,56089400,57791300,87.9642,87.7136,99.9642,50705500
석면해체,"대전,충남",대전광역시교육청,6357000,42142728,87.745,46746675,100.8405,41017870,88.482,,,46649100,46952700,47211900,46173000,87.7559,88.4936,100.8532,41023000
석면해체,충남,과학기술정보통신부 우정사업본부 충청지방우정청,86731000,78846363,87.745,87342275,100.7047,76638480,88.363,,,88154300,87803900,86999900,86411000,87.7627,88.3813,100.7251,76654000
석면해체,충남,국방부계룡대근무지원단,25400000,23109090,87.745,25397032,99.9883,22284626,87.734,,,25225752,25292456,25352392,25717531,87.7635,87.7532,100.0094,22289330
석면해체,전국,한국토지주택공사 인천지역본부,87923000,79930000,87.745,87644000,99.6826,76903228,87.466,,,86857488,89025475,88208996,86483525,87.7458,87.4674,99.6836,76904000
비계구조[대],충남,수도방위사령부,72726000,66114545,87.745,72403532,99.5565,63530480,87.355,,,71805373,72029744,72726000,73053013,87.7719,87.3827,99.5871,63550000
석면해체,충남,국방부계룡대근무지원단,14100000,12908181,87.745,14195769,100.6792,12456078,88.34,,,13818000,14238085,14344991,14382000,87.7574,88.3534,100.6934,12457840
석면해체,충남,육군훈련소,435381370,395801245,86.745,438863066,100.7996,384619874,88.34,29634906.0,378745895,435381370,438559615,439554505,441956775,86.7564,88.3516,100.8121,384666748
석면해체,충남,공주대학교,140932000,128120000,87.745,141250225,100.2258,123940010,87.943,,,143277200,138368500,143716900,139638300,87.7506,87.9487,100.2322,123948000
석면해체,충남,국군재정관리단,15216666,14110000,87.745,15160698,99.6321,13302755,87.422,,,14989894,15029721,15216666,15406513,87.7466,87.4238,99.634,13303000
석면해체,충남,공 주대학교,149369000,135790000,87.745,150350775,100.6572,131925288,88.321,,,151788800,150516200,151160000,147938100,87.7651,88.342,100.6803,131955587
석면해체,충남,공군 작사예하 방포사예하 제2여단,111519600,103409090,87.745,110994124,99.5288,97391795,87.331,,,109868812,110146486,111071450,112889748,87.7457,87.3322,99.5296,97392580
석면해체,충남,공주대학교,156816000,142560000,87.745,158725300,101.2175,139273515,88.813,,,158547300,157589200,159093000,159671700,87.7512,88.8196,101.2247,139283413
석면해체,충남,충청남도,192203000,174730000,87.745,191080575,99.416,169073450,87.966,11503868.0,0,189906200,197219500,186867500,190329100,87.7596,87.9797,99.4315,169099700
석면해체,전국,제3007부대,108231000,98392364,87.745,108666813,100.4026,95349696,88.098,,,107183558,108027093,109606000,109850604,87.745,88.0983,100.4027,95349725
석면해체,충남,공주대학교,171721000,156110000,87.745,173059625,100.7795,151851168,88.429,,,171250500,173232200,174954600,172801200,87.755,88.4391,100.7911,151868595
석면해체,충남,국군재정관리단,111139215,103057003,87.745,111681636,100.488,97995052,88.173,,,108916431,111924881,112523234,113361999,87.7667,88.1951,100.513,98019380
석면해체,충남,충청남도논산계룡교육지원청,273914000,249012728,87.745,274557075,100.2347,242884499,88.671,16110919.0,0,271829600,274212600,272837600,279348500,87.7567,88.6828,100.2473,242914770
석면해체,충남,제9965부대,101250000,93895454,87.745,101590270,100.336,89140383,88.039,,,99743916,100819106,102523058,103275000,87.7458,88.0407,100.337,89141210
"석면해체,비계구조[대]",충남,충청남도 서산시,73160000,66509091,87.745,73156200,99.9948,64190908,87.74,,,71311300,73888000,72994700,74430800,87.7495,87.745,100.0,64194264
비계구조[대],"대전,충남",환경보전협회,63807000,58006364,87.745,63944375,100.2152,56470092,88.501,2954707.0,53833114,64769900,63347600,63533300,64126700,87.7468,88.5031,100.2172,56471200
"석면해체,비계구조[대]",충남,충청남도 서산시,65090000,59172728,87.745,65091050,100.0016,57114142,87.746,,,63314400,66219400,64990500,65839900,87.7893,87.7907,100.0521,57143000
석면해체,충남,공주대학교,90178000,81980000,87.745,90240050,100.0688,79181132,87.805,,,91303500,88605300,90243000,90808400,87.7467,87.8071,100.0708,79182709
석면해체,충남,한국폴리텍대학바이오캠퍼스,112357000,102142730,87.745,111839075,99.539,98133197,87.34,,,111596400,113261500,112153700,110344700,87.7637,87.3591,99.5603,98154160
석면해체,충남,제20전투비행단,24998820,23190000,87.745,25102137,100.4132,22025871,88.107,,,24628127,25106261,25241759,25432403,87.7585,88.1211,100.4287,22029260
석면해체,충남,공군 작사예하 방포사예하 제2여단,47403920,43956363,87.745,47654384,100.5283,41814340,88.208,,,47066687,47729727,47847166,47973957,87.7673,88.231,100.5539,41825000
석면해체,충남,한국철도공사 회계통합센터,33198000,30180000,87.745,33185275,99.9616,29118420,87.711,,,33481600,33369700,32818900,33070900,87.7456,87.7119,99.9623,29118629
비계구조[대],충남,충청남도 서산시,176601000,160546364,87.745,176381600,99.8757,154766035,87.635,,,175891100,176030600,181185600,172419100,87.7687,87.6597,99.9028,154808000
"석면해체,비계구조[대]",충남,충청남도 서산시,38070000,34609091,87.745,37886825,99.5188,33243795,87.322,,,38120700,37752500,36988100,38686000,88.0728,87.649,99.8906,33368000
석면해체,충남,국방부계룡대근무지원단,10550000,9593636,87.745,10507176,99.594,9219522,87.388,,,10394687,10506820,10530791,10596407,87.7481,87.3919,99.5976,9219850
"석면해체,비계구조[대]",충남,충청남도 서산시,43350000,39409091,87.745,42852950,98.8534,37601321,86.738,,,42250300,42711500,42406800,44043200,87.7529,86.7468,98.8623,37604740
비계구조[대],충남,충청남도 서산시,38270000,34790909,87.745,37894650,99.0192,33250661,86.884,,,37329800,37895400,37435400,38918000,87.8374,86.9759,99.1235,33285683
"석면해체,비계구조[대]",충남,충청남도 서산시,34059000,30962989,87.745,34198075,100.4083,30007101,88.103,,,34162200,35052900,33167000,34410200,88.0783,88.438,100.7897,30121100
석면해체,충남,국방부계룡대근무지원단,11060000,10060909,87.745,11151520,100.8274,9784902,88.471,,,10953870,11169240,11224820,11258152,87.7729,88.4992,100.8596,9788018
"석면해체,비계구조[대]",충남,충청남도 서산시,54451000,49501214,87.745,54947925,100.9126,48214057,88.545,,,54688500,55865700,55841200,53396300,88.0132,88.8164,101.221,48361440
"석면해체,비계구조[대]",충남,충청남도 서산시,27965000,25423283,87.745,27902600,99.7768,24483137,87.549,,,27782700,27984600,28248600,27594500,87.7508,87.555,99.7834,24484760
비계구조[대],충남,충청남도 서산시,34230000,31118182,87.745,34230675,100.0019,30035706,87.746,,,33590300,34988600,35121100,33222700,87.8088,87.8106,100.0747,30057570
석면해체,충남,충청남도 건설본부,39721000,36110000,87.745,40020750,100.7546,35116208,88.407,,,39460100,40695400,40167900,39759600,87.7562,88.4185,100.7676,35120726
석면해체,충남,국방부계룡대근무지원단,22100000,20091818,87.745,22116261,100.0735,19405914,87.809,,,21772300,21945922,22309278,22437544,87.7518,87.8164,100.0814,19407430
석면해체,충남,충청남도교육청 충청남도천안교육지원청,386170000,351063637,87.745,387108425,100.243,340849730,88.264,9640490.0,324770090,379415900,396419000,385903600,386695200,88.0,88.2646,100.2435,340851700
석면해체,충남,충청남도교육청 충청남도천안교육지원청 천안계광중학교,322065000,292786364,87.745,322842825,100.2415,285572342,88.669,18718112.0,303346888,328780100,312889400,320200300,329501500,91.8414,91.8414,100.2525,298030725
비계구조[대],전국,제6128부대,1455211000,1322919091,86.745,1467261045,100.828,1283776388,88.219,82993543.0,1237145674,1441428854,1469506582,1477260797,1480847948,86.7536,88.2274,100.8374,1283895500
비계구조[대],전국,제6128부대,1673539000,1521399091,86.745,1690939677,101.0397,1479959471,88.432,99236871.0,1419679366,1680404348,1685501203,1694451908,1703401252,86.7469,88.4347,101.0418,1479990000
석면해체,충남,공주대학교,174724000,158840000,87.745,173157650,99.0,151937180,86.958,,,172440400,176937800,171358900,171893500,87.7585,87.0,99.1188,151960600
석면해체,충남,충청남도교육청 충청남도논산계룡교육지원청,347990000,316354546,87.745,350860975,101.0,310385205,89.0,20581330.0,289866255,353892000,338841400,356077300,354633200,87.7677,89.0,100.8496,310460270
비계구조[대],전국,한전KPS(주) 원전사업본부 신한울1사업소,166339800,151218000,87.745,165802202,100.0,147073878,88.0,12980296.0,136456620,165798267,165076987,163772062,168561492,87.7649,88.0,99.6977,147104400
석면해체,전국,국군재정관리단,1345416660,1247568864,86.745,1359031221,101.0,1190172868,88.0,85109282.0,1193142999,1343338406,1358431813,1365163832,1369190833,86.7496,88.0,101.0169,1190232000
석면해체,충남,공주대학교,171545000,155950000,87.745,171877425,100.0,150813847,88.0,,,174759800,173884900,169659800,169205200,87.7599,88.0,100.2107,150839460
석면해체,충남,충청남도교육청 충청남도논산계룡교육지원청,210630000,191481818,87.745,208372625,99.0,184430647,88.0,13007645.0,183090921,212045500,206484900,209616900,205343200,87.7472,88.0,98.9306,184434970
석면해체,충남,충청남도교육청 충청남도천안교육지원청,311191000,282900909,87.745,313612100,101.0,277350316,89.0,17718303.0,261444456,304550200,318578700,311225300,320094200,87.7495,89.0,100.7829,277363700
석면해체,충남,충청남도교육청 충청남도천안교육지원청,359096000,326450909,87.745,356241250,99.0,315164168,88.0,21054940.0,297765322,350233600,357336500,368084200,349310700,87.7556,88.0,99.2163,315200000
석면해체,충남,충청남도교육청 충청남도논산계룡교육지원청,212618000,193289091,87.745,212646200,100.0,188145404,88.0,12721296.0,177064917,213283500,210730000,214710200,211861100,87.7838,89.0,100.0548,188223081
석면해체,충남,충청남도교육청 충청남도당진교육지원청,181395000,164904546,87.745,182286150,100.0,161260373,89.0,10717177.0,136636043,180375600,185218900,180986900,182563200,87.7503,88.9051,100.497,161269520
석면해체,충남,국방부계룡대근무지원단,21400000,19515455,87.745,21428672,100.0,18802589,88.0,,,21253545,21313443,21543881,21603822,87.7457,88.0,100.1347,18802740
석면해체,충남,충청남도교육청 충청남도논산계룡교육지원청,210630000,191481818,87.745,208372625,99.0,184430647,88.0,13007645.0,183090921,212045500,206484900,209616900,205343200,87.7472,88.0,98.9306,184434970
석면해체,충남,충청남도교육청 충청남도천안교육지원청,311191000,282900909,87.745,313612100,101.0,277350316,89.0,17718303.0,261444456,304550200,318578700,311225300,320094200,87.7495,89.0,100.7829,277363700
석면해체,충남,충청남도교육청 충청남도천안교육지원청,359096000,326450909,87.745,356241250,99.0,315164168,87.765,21054940.0,297765322,350233600,357336500,368084200,349310700,87.7556,88.0,99.2163,315200000
석면해체,충남,충청남도교육청 충청남도논산계룡교육지원청,212618000,193289091,87.745,212646200,100.0,188145404,88.0,12721296.0,177064917,213283500,210730000,214710200,211861100,87.7838,89.0,100.0548,188223081
석면해체,충남,충청남도교육청 충청남도당진교육지원청,181395000,164904546,87.745,182286150,100.0,161260373,89.0,10717177.0,136636043,180375600,185218900,180986900,182563200,87.7503,89.0,100.497,161269520
석면해체,충남,국방부계룡대근무지원단,21400000,19515455,87.745,21428672,100.0,18802589,88.0,,,21543881,21603822,21543881,21603822,88.0,88.0,100.1347,18802740
석면해체,충남,충청남도교육청 충청남도천안교육지원청,194880000,177163637,87.745,194974100,100.0,171681159,88.0,4905220.0,164300486,197653200,198491200,191647000,192105000,87.7452,88.0,100.0485,171681547
석면해체,충남,충청남도교육청 충청남도천안교육지원청,271400000,246727273,87.745,271921150,100.0,239426226,88.0,6764685.0,227602731,270694400,271809900,278985700,266194600,87.7546,88.0,100.2028,239451900
석면해체,충남,국군재정관리단,683159800,633475455,87.745,679000722,99.0,601806093,88.0,49097587.0,624680940,669496604,673119204,676564086,696822996,89.0,89.0,99.4069,608556440
석면해체,충남,충청남도교육청 충청남도천안교육지원청,189541000,172310000,87.745,188002900,99.0,166274387,88.0,10699651.0,155615135,188345000,193483500,186288500,183894600,88.0,88.0,99.249,166375150
석면해체,충남,충청남도교육청 충청남도천안교육지원청,262251000,238410000,87.745,261840650,100.0,231608382,88.315,15147313.0,220134971,267496100,255849500,269360700,254656300,88.0,88.0,99.8499,231623270
석면해체,충남,충청남도교육청 충청남도천안교육지원청,306889000,278990000,87.745,302782100,99.0,267929558,87.0,18387626.0,256375913,306088100,298391300,302294900,304354100,88.0,87.0,98.7064,268050000
석면해체,충남,충청남도교육청 충청남도서산교육지원청,455080000,413709091,87.745,458643325,101.0,405786240,89.0,27332958.0,344248039,463521800,460723000,454816100,455512400,88.0,89.0,100.8162,405919160
비계구조[대],전국,국군재정관리단,1091821760,1012416545,86.745,1096328514,100.0,959441490,88.0,63608601.0,963069541,1078346057,1096464219,1102403913,1108099867,87.0,88.0,100.415,959463500
석면해체,충남,충청남도교육청 충청남도서산교육지원청  ,455983000,414530000,87.745,462280175,101.0,409017054,90.0,27656584.0,347427048,463894400,456899600,465896100,462430600,88.0,89.7014,101.0,409023212
석면해체,충남,충청남도교육청 충청남도서산 교육지원청,349900000,318090909,87.745,347974725,99.4497,307925512,88.003,21175754.0,264728467,350466900,342041300,352440300,346950400,87.7514,88.0098,99.4566,307946499
석면해체,충남,충청남도교육청 충청남도서산 교육지원청,182670000,166063636,87.745,181523325,99.0,160633220,88.0,11061428.0,138159377,180209500,179641400,181725600,184516800,88.0,88.0,99.0,160642370
비계구조[대],충남,충청남도 서산시,97090000,88263637,87.745,95667925,99.0,84152910,87.0,1706147.0,,94681200,95064800,96677400,96248300,88.0,87.0,98.7272,84316475
석면해체,충남,충청남도서산교육청 서령중학교,223690000,203354546,87.745,224179925,100.0,198084258,89.0,11240978.0,189780290,222493300,227747800,226063400,220415200,88.0,88.5649,100.0,198110910
석면해체,충남,충청남도당진교육청 호서중학교,219970000,199972728,87.745,217048850,99.0,191806041,87.0,11069173.0,183315787,215069100,31079380,221259100,214734800,88.0,87.0,99.0,191972566
비계구조[대],충남,충청남도 서산시,193169000,175608743,87.745,194115550,100.0,171613648,89.0,10501497.0,,192270800,190559300,195720800,197911300,88.0,89.0,101.0,171827100
석면해체,충남,육군훈련소,30787000,27988181,87.745,31126374,101.0,27311837,89.0,,,31007747,31079380,31173993,31244377,87.7455,88.7127,101.1029,27312000
비계구조[대],충남,충청남도 서산시,152390000,138536364,87.745,153034250,100.4227,134669792,88.371,3181465.0,,152568300,155599400,150349500,153619800,88.2599,88.8782,100.9998,135441500
석면해체,"전국,부산",부산광역시교육청 부산광역시 북부교육지원청 ,1182500000,1075000000,87.745,1174222550,99.3,1040204172,87.966,80641329.0,997226373,1207817400,1174802000,1155870100,1158400700,87.746,87.9675,99.3011,1040216000
석면해체,충남,충청남도 건설본부,16940000,15400000,87.745,16828700,99.3429,14846223,87.64,651810.0,,16627000,16903600,16440000,17344200,87.7466,87.6416,99.3447,14846490
비계구조[대],전국,한국중부발전(주) 제주발전본부,289295600,262996000,87.745,288304935,99.6575,255286394,88.244,18875792.0,241679373,286986342,283803923,294990642,287438831,88.4474,88.8983,100.4031,257179000
비계구조[대],"전국,대전",대전광역시교육청,1667589000,1515990000,86.745,1668026775,100.0262,1460859141,87.603,105087246.0,1477585795,1673408900,1642925400,1652030400,1703742400,86.8509,87.7023,100.1406,1462514688
석면해체,전국,특수전사령부,72380000,65800000,87.745,72828075,100.619,63902995,88.288,,,72046860,72380000,73057840,3827600,87.7458,88.289,100.6199,63903590
석면해체,전국,한국농어촌공사 경북지역본부 상주지사  ,292920000,266290909,80.495,294402225,100.506,236979072,80.902,,,292773600,297712200,298385900,288737200,80.498,80.9053,100.5098,236988000
"석면해체,비계구조[대]",충남,충청남도 서산시,41180000,37436364,87.745,41178900,99.9973,36224040,87.965,747558.0,,40732800,40502200,41544500,41936100,87.8586,88.0767,100.1245,36270000
"석면해체,비계구조[대]",충남,충청남도 서산시,63060000,57327273,87.745,63164225,100.1652,55531026,88.06,877818.0,,61427400,63842600,64253100,63133800,87.7754,88.0907,100.1995,55550000
비계구조[대],충남,충청남도 부여군,543161000,493782727,87.745,547351575,100.7715,484371815,89.176,33440844.0,429738643,551770200,533161500,556913900,547560700,87.8429,89.2691,100.877,484875000
"석면해체,비계구조[대]",충남,충청남도 서산시,98573000,89612521,87.745,97314025,98.7227,85388192,86.624,,,97705600,98842200,96979100,95729200,87.8576,86.7354,98.8495,85497780
석면해체,충남,국방부계룡대근무지원단,9730000,8851818,87.745,9827199,100.9989,8622876,88.621,,,9686578,9823174,9874446,9924600,87.7767,88.6536,101.0355,8626000
석면해체,충남,육군훈련소,247688590,225171445,87.745,249506178,100.7338,221016646,89.231,17033455.0,215325900,245938325,249384348,250059678,252642361,88.0873,89.5529,101.0999,221812480
석면해체,충남,국군재정관리단,488526470,452997894,87.745,486203485,99.5244,430938517,88.211,35244949.0,437775713,478755941,482478793,487730734,495848475,87.7472,88.2139,99.5268,430948740
"석면해체,비계구조[대] ",충남,충청남도서산교육지원청 ,95908000,87189091,87.745,94900550,98.9495,83270488,86.823,,,93901700,94629600,93720400,97350500,88.0,87.0,99.0,83456700
석면해체,충남,국군재정관리단,36288230,33649091,87.745,36114687,99.5217,31688833,87.325,,,35754284,36030043,36126443,36547979,87.7613,87.3416,99.5403,31694735
"석면해체,비계구조[대]",충남,충청남도 서산시 지곡면,40440000,36736637,87.745,40519525,100.1966,35553858,87.917,,,41289300,39411700,40878400,40498700,87.7848,87.9574,100.2421,35570000
비계구조[대],전국,한전KPS(주) 신성장사업본부파주사업소,6446000,5860000,87.745,6421566,99.6209,5634604,87.412,,,6418754,6445783,6466024,6355703,87.7896,87.4568,99.6716,5637469
석면해체,충남,충청남도천안교육지원청,178167000,161970000,87.745,178190200,100.013,157681440,88.502,10840050.0,149276133,177005400,182592700,180146500,173016200,87.7857,88.5402,100.0566,157749567
석면해체,충남,국방부계룡대근무지원단,4470000,4067272,87.745,4469846,99.9965,3922067,87.741,,,4404355,4415464,4511898,4547669,87.7699,87.7668,100.0249,3923180
